[I 220131 11:31:50 engine:76] TRAIN | Epoch: [92/150][1260/7830] | Time: 0.000/0.225 | Loss: 0.143 | Acc: 0.958 | mIoU: 0.529
[I 220131 11:31:52 engine:76] TRAIN | Epoch: [92/150][1270/7830] | Time: 0.000/0.224 | Loss: 0.187 | Acc: 0.923 | mIoU: 0.547
[I 220131 11:31:54 engine:76] TRAIN | Epoch: [92/150][1280/7830] | Time: 0.000/0.235 | Loss: 0.101 | Acc: 0.962 | mIoU: 0.746
[I 220131 11:31:56 engine:76] TRAIN | Epoch: [92/150][1290/7830] | Time: 0.000/0.229 | Loss: 0.212 | Acc: 0.887 | mIoU: 0.520
[I 220131 11:31:59 engine:76] TRAIN | Epoch: [92/150][1300/7830] | Time: 0.000/0.238 | Loss: 0.376 | Acc: 0.875 | mIoU: 0.585
[I 220131 11:32:01 engine:76] TRAIN | Epoch: [92/150][1310/7830] | Time: 0.000/0.230 | Loss: 0.012 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:32:03 engine:76] TRAIN | Epoch: [92/150][1320/7830] | Time: 0.000/0.230 | Loss: 0.098 | Acc: 0.961 | mIoU: 0.615
[I 220131 11:32:06 engine:76] TRAIN | Epoch: [92/150][1330/7830] | Time: 0.000/0.226 | Loss: 0.044 | Acc: 0.992 | mIoU: 0.656
[I 220131 11:32:08 engine:76] TRAIN | Epoch: [92/150][1340/7830] | Time: 0.000/0.226 | Loss: 0.111 | Acc: 0.952 | mIoU: 0.816
[I 220131 11:32:10 engine:76] TRAIN | Epoch: [92/150][1350/7830] | Time: 0.000/0.229 | Loss: 0.146 | Acc: 0.945 | mIoU: 0.619
[I 220131 11:32:13 engine:76] TRAIN | Epoch: [92/150][1360/7830] | Time: 0.000/0.235 | Loss: 0.052 | Acc: 0.988 | mIoU: 0.976
[I 220131 11:32:15 engine:76] TRAIN | Epoch: [92/150][1370/7830] | Time: 0.000/0.225 | Loss: 0.284 | Acc: 0.916 | mIoU: 0.493
[I 220131 11:32:17 engine:76] TRAIN | Epoch: [92/150][1380/7830] | Time: 0.000/0.246 | Loss: 0.105 | Acc: 0.958 | mIoU: 0.658
[I 220131 11:32:20 engine:76] TRAIN | Epoch: [92/150][1390/7830] | Time: 0.000/0.227 | Loss: 0.165 | Acc: 0.940 | mIoU: 0.763
[I 220131 11:32:22 engine:76] TRAIN | Epoch: [92/150][1400/7830] | Time: 0.000/0.230 | Loss: 0.138 | Acc: 0.946 | mIoU: 0.893
[I 220131 11:32:24 engine:76] TRAIN | Epoch: [92/150][1410/7830] | Time: 0.000/0.226 | Loss: 0.143 | Acc: 0.959 | mIoU: 0.846
[I 220131 11:32:26 engine:76] TRAIN | Epoch: [92/150][1420/7830] | Time: 0.000/0.228 | Loss: 0.123 | Acc: 0.959 | mIoU: 0.611
[I 220131 11:32:29 engine:76] TRAIN | Epoch: [92/150][1430/7830] | Time: 0.000/0.238 | Loss: 0.141 | Acc: 0.947 | mIoU: 0.584
[I 220131 11:32:31 engine:76] TRAIN | Epoch: [92/150][1440/7830] | Time: 0.000/0.230 | Loss: 0.047 | Acc: 0.987 | mIoU: 0.953
[I 220131 11:32:33 engine:76] TRAIN | Epoch: [92/150][1450/7830] | Time: 0.000/0.224 | Loss: 0.002 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:32:36 engine:76] TRAIN | Epoch: [92/150][1460/7830] | Time: 0.000/0.225 | Loss: 0.088 | Acc: 0.970 | mIoU: 0.928
[I 220131 11:32:38 engine:76] TRAIN | Epoch: [92/150][1470/7830] | Time: 0.000/0.227 | Loss: 0.075 | Acc: 0.972 | mIoU: 0.827
[I 220131 11:32:40 engine:76] TRAIN | Epoch: [92/150][1480/7830] | Time: 0.000/0.225 | Loss: 0.154 | Acc: 0.942 | mIoU: 0.599
[I 220131 11:32:43 engine:76] TRAIN | Epoch: [92/150][1490/7830] | Time: 0.000/0.226 | Loss: 0.075 | Acc: 0.969 | mIoU: 0.931
[I 220131 11:32:45 engine:76] TRAIN | Epoch: [92/150][1500/7830] | Time: 0.000/0.226 | Loss: 0.003 | Acc: 1.000 | mIoU: 1.000
[I 220131 11:32:47 engine:76] TRAIN | Epoch: [92/150][1510/7830] | Time: 0.000/0.227 | Loss: 0.125 | Acc: 0.943 | mIoU: 0.701
[I 220131 11:32:50 engine:76] TRAIN | Epoch: [92/150][1520/7830] | Time: 0.000/0.227 | Loss: 0.081 | Acc: 0.968 | mIoU: 0.631
[I 220131 11:32:52 engine:76] TRAIN | Epoch: [92/150][1530/7830] | Time: 0.000/0.224 | Loss: 0.162 | Acc: 0.943 | mIoU: 0.839
[I 220131 11:32:54 engine:76] TRAIN | Epoch: [92/150][1540/7830] | Time: 0.000/0.228 | Loss: 0.107 | Acc: 0.969 | mIoU: 0.567
[I 220131 11:32:57 engine:76] TRAIN | Epoch: [92/150][1550/7830] | Time: 0.000/0.228 | Loss: 0.011 | Acc: 1.000 | mIoU: 0.666
[I 220131 11:32:59 engine:76] TRAIN | Epoch: [92/150][1560/7830] | Time: 0.000/0.245 | Loss: 0.279 | Acc: 0.898 | mIoU: 0.638
